Adj Close,Close,Date,High,Low,Open,Volume
79489.7109375,81000.0,2021-06-11,81700.0,80700.0,81200.0,14087962
78999.0234375,80500.0,2021-06-14,80900.0,80500.0,80800.0,10550078
79391.5703125,80900.0,2021-06-15,81200.0,80600.0,80900.0,10075685
80274.7890625,81800.0,2021-06-16,81900.0,81100.0,81500.0,14999855
79391.5703125,80900.0,2021-06-17,81300.0,80700.0,81100.0,14007385
78999.0234375,80500.0,2021-06-18,81100.0,80500.0,81100.0,14916721
78410.2265625,79900.0,2021-06-21,80000.0,79600.0,79700.0,16063340
78508.359375,80000.0,2021-06-22,80300.0,79900.0,80200.0,11773365
78606.484375,80100.0,2021-06-23,80600.0,79900.0,80500.0,13856548
79685.9765625,81200.0,2021-06-24,81400.0,80100.0,80400.0,18771080
80078.5234375,81600.0,2021-06-25,81900.0,81200.0,81500.0,13481405
80372.9296875,81900.0,2021-06-28,82000.0,81600.0,81700.0,11578529
79841.640625,81000.0,2021-06-29,82100.0,80800.0,81900.0,15744317
79545.9296875,80700.0,2021-06-30,81400.0,80700.0,81100.0,13288643
78954.5,80100.0,2021-07-01,80600.0,80000.0,80500.0,13382882
78855.9375,80000.0,2021-07-02,80400.0,79900.0,80000.0,8753097
79250.21875,80400.0,2021-07-05,80800.0,80000.0,80100.0,8330969
80038.78125,81200.0,2021-07-06,81200.0,80500.0,80600.0,12131651
79644.5078125,80800.0,2021-07-07,81300.0,80300.0,81200.0,15992202
78757.3671875,79900.0,2021-07-08,81200.0,79900.0,81100.0,16660998
78264.515625,79400.0,2021-07-09,79800.0,79000.0,79600.0,22720577
78560.2265625,79700.0,2021-07-12,80000.0,79500.0,79900.0,9768108
78658.796875,79800.0,2021-07-13,80200.0,79800.0,80000.0,9863450
78363.0859375,79500.0,2021-07-14,79600.0,79100.0,79400.0,11575636
79447.3515625,80600.0,2021-07-15,80600.0,79500.0,79800.0,13766279
78658.796875,79800.0,2021-07-16,80100.0,79500.0,80100.0,10859399
77870.2421875,79000.0,2021-07-19,79200.0,78800.0,79100.0,13155414
77870.2421875,79000.0,2021-07-20,79000.0,78400.0,78500.0,12456646
77377.390625,78500.0,2021-07-21,79100.0,78500.0,79000.0,12355296
78560.2265625,79700.0,2021-07-22,79800.0,78900.0,79000.0,12618790
78165.9453125,79300.0,2021-07-23,79900.0,79200.0,79700.0,9098910
77673.1015625,78800.0,2021-07-26,79500.0,78800.0,79400.0,10040975
77377.390625,78500.0,2021-07-27,79400.0,78500.0,79200.0,11427693
78067.3828125,79200.0,2021-07-28,79200.0,78100.0,78300.0,12743417
77870.2421875,79000.0,2021-07-29,79400.0,78800.0,78800.0,14360453
77377.390625,78500.0,2021-07-30,78900.0,78500.0,78900.0,13823411
78165.9453125,79300.0,2021-08-02,79500.0,78700.0,79200.0,11739124
80235.921875,81400.0,2021-08-03,81400.0,79300.0,79400.0,24339360
81714.4609375,82900.0,2021-08-04,83100.0,81800.0,82200.0,25642368
80925.90625,82100.0,2021-08-05,83300.0,82000.0,83300.0,18485469
80334.4921875,81500.0,2021-08-06,82500.0,81300.0,81900.0,13342623
80334.4921875,81500.0,2021-08-09,82300.0,80900.0,81500.0,15522581
79053.078125,80200.0,2021-08-10,82400.0,80100.0,82300.0,20362639
77377.390625,78500.0,2021-08-11,79800.0,78500.0,79600.0,30241137
75898.84375,77000.0,2021-08-12,78200.0,76900.0,77100.0,42365223
73336.015625,74400.0,2021-08-13,76000.0,74100.0,75800.0,61270643
73138.8828125,74200.0,2021-08-17,75100.0,74000.0,74000.0,30944847
72843.1796875,73900.0,2021-08-18,74600.0,73100.0,73900.0,29192631
72054.6171875,73100.0,2021-08-19,74400.0,73100.0,73500.0,22166298
71660.3359375,72700.0,2021-08-20,73900.0,72500.0,73500.0,22364803
72251.75,73300.0,2021-08-23,74000.0,73000.0,73300.0,19384648
74518.859375,75600.0,2021-08-24,75700.0,73900.0,73900.0,21016913
74617.4296875,75700.0,2021-08-25,76600.0,74900.0,76200.0,22319664
73533.1640625,74600.0,2021-08-26,76200.0,74600.0,76100.0,16671494
73237.453125,74300.0,2021-08-27,75000.0,73800.0,74300.0,15172748
73533.1640625,74600.0,2021-08-30,75500.0,74200.0,75400.0,12686999
75603.1328125,76700.0,2021-08-31,76700.0,74300.0,74900.0,24630370
75701.7109375,76800.0,2021-09-01,77100.0,75900.0,76700.0,16114775
74913.1328125,76000.0,2021-09-02,76800.0,75700.0,76800.0,15347486
75504.5625,76600.0,2021-09-03,76700.0,76000.0,76400.0,12096419
76194.5546875,77300.0,2021-09-06,77600.0,76600.0,76800.0,12861180
75011.7109375,76100.0,2021-09-07,77100.0,75900.0,77100.0,13239401
75208.859375,76300.0,2021-09-08,76400.0,75600.0,76000.0,11798147
74223.1484375,75300.0,2021-09-09,76600.0,75000.0,76400.0,17600770
74223.1484375,75300.0,2021-09-10,75600.0,74800.0,75300.0,10103212
75208.859375,76300.0,2021-09-13,76300.0,75100.0,75200.0,11397775
75504.5625,76600.0,2021-09-14,77700.0,76600.0,77100.0,18167057
75898.84375,77000.0,2021-09-15,77400.0,76400.0,77400.0,12829128
75011.7109375,76100.0,2021-09-16,77400.0,76100.0,77300.0,13067622
